                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     74,                0.69304,                0.32514,                0.77826,                0.93183,                0.70979,                0.80115,                 0.5581,                0.77275,                0.36252,                0.79245,             0.00034663,             0.00034663,             0.00034663
                     75,                0.68208,                0.32035,                0.77745,                0.92999,                0.72554,                0.82299,                0.57577,                0.77217,                0.35595,                0.79283,             0.00033425,             0.00033425,             0.00033425
                     76,                0.66456,                0.31411,                0.77647,                0.93596,                0.75942,                0.83512,                0.57883,                0.77661,                0.36028,                0.79437,             0.00032188,             0.00032188,             0.00032188
                     77,                0.68105,                   0.32,                0.77717,                0.93348,                0.72523,                0.82741,                0.57847,                0.77757,                0.36046,                0.79411,              0.0003095,              0.0003095,              0.0003095
                     78,                0.69185,                0.32826,                0.77681,                0.81719,                0.69297,                0.77309,                0.54911,                0.76802,                0.36522,                0.79412,             0.00029713,             0.00029713,             0.00029713
                     79,                0.69028,                0.32413,                0.77575,                0.91176,                0.70325,                0.81754,                0.57972,                 0.7972,                0.36366,                0.79614,             0.00028475,             0.00028475,             0.00028475
                     80,                0.67721,                0.31995,                0.77592,                0.94628,                0.73151,                0.81135,                0.56205,                 0.7637,                0.36196,                0.79277,             0.00027237,             0.00027237,             0.00027237
                     81,                0.64962,                0.30847,                0.77612,                0.95002,                  0.712,                0.82398,                0.58801,                0.76149,                0.35098,                0.79178,                0.00026,                0.00026,                0.00026
                     82,                0.65157,                0.31041,                0.77433,                0.92845,                0.73266,                0.83555,                0.58519,                0.77454,                0.35705,                0.79284,             0.00024762,             0.00024762,             0.00024762
                     83,                0.65356,                0.30874,                0.77634,                0.90489,                0.70311,                 0.7965,                0.57428,                0.76175,                0.35579,                0.79195,             0.00023525,             0.00023525,             0.00023525
                     84,                0.67169,                0.31321,                0.77535,                0.92974,                0.72893,                0.81649,                0.56159,                0.79588,                0.35758,                 0.7939,             0.00022288,             0.00022288,             0.00022288
                     85,                0.66132,                0.31118,                0.77281,                 0.8451,                0.72471,                0.80703,                0.57964,                0.76069,                0.35475,                0.79251,              0.0002105,              0.0002105,              0.0002105
                     86,                0.63262,                0.29827,                0.77499,                0.91511,                0.73358,                0.82145,                0.57777,                0.77491,                0.35449,                0.79374,             0.00019813,             0.00019813,             0.00019813
                     87,                0.63715,                0.30293,                0.77372,                0.87586,                0.73204,                 0.8048,                0.56587,                0.78405,                0.35174,                 0.7943,             0.00018575,             0.00018575,             0.00018575
                     88,                0.66007,                0.30529,                0.77436,                0.95495,                0.71823,                0.82334,                0.57941,                0.77005,                 0.3437,                0.79326,             0.00017338,             0.00017338,             0.00017338
                     89,                0.62342,                0.29323,                0.77332,                0.94335,                0.71304,                0.81589,                0.57527,                0.77174,                0.34659,                0.79395,               0.000161,               0.000161,               0.000161
